System,Drug,Class,Indication,Pediatric_Dose,Max_Dose,Dosage_Form,Route,Frequency,Contraindications,Major_Side_Effects,Special_Notes
Endocrine,Liothyronine,T3,Myxedema,5 mcg/day titrate,50 mcg/day,Tab,PO,Once daily,Same as levothyroxine,Same as above,Short half-life
Endocrine,Levothyroxine,Thyroid hormone,Hypothyroidism,10-15 mcg/kg/day,200 mcg/day,Tab liquid,PO,Once daily,Uncorrected adrenal insufficiency,Tachycardia,Monitor TSH
Endocrine,Metformin,Biguanide,DM2,500 mg BID,2000 mg/day,Tab liquid,PO,BID,Renal failure,GI upset,Monitor eGFR
Endocrine,Sitagliptin,DPP-4 inhibitor,DM2,25-100 mg/day,100 mg/day,Tab,PO,Once daily,Pancreatitis,URI,Monitor LFTs
Fluid_Electrolyte,D25W,Hypertonic dextrose,Severe hypoglycemia,2-4 mL/kg IV,—,Ampule,IV,Bolus,Hyperglycemia,Same as above,Monitor glucose
Fluid_Electrolyte,D5 0.2% NaCl,Maintenance,Maintenance fluids,100 mL/kg/day first 10 kg + 50 mL/kg next 10 kg + 20 mL/kg >20 kg,—,Bag,IV,Continuous,None,Hypoglycemia,Adjust dextrose
Fluid_Electrolyte,Lactated Ringer,Isotonic crystalloid,Resuscitation,20 mL/kg bolus then maintenance,—,Bag,IV,Bolus/continuous,Hyperkalemia,Lactic acidosis,Monitor electrolytes
Fluid_Electrolyte,Acetazolamide,Carbonic anhydrase inhibitor,Metabolic alkalosis,5 mg/kg IV q12h,—,Tab inj,PO/IV,q12h,Renal failure,Metabolic acidosis,Monitor bicarbonate
Fluid_Electrolyte,Spironolactone,K-sparing diuretic,Edema,1-3 mg/kg/day ÷ BID,100 mg/day,Tab susp,PO,BID,Hyperkalemia,Gynecomastia GI upset,Monitor K+
Fluid_Electrolyte,Furosemide,Loop diuretic,Edema,1 mg/kg IV q12-24h,—,Ampule,IV,q12-24h,Anuria,Hypokalemia ototoxicity,Monitor electrolytes
Fluid_Electrolyte,Mannitol 20%,Osmotic diuretic,Cerebral edema,0.25-1 g/kg IV over 30-60 min,2 g/kg,Vial,IV,PRN,Anuria,CHF electrolyte imbalance,Monitor osmolality
Fluid_Electrolyte,Hydroxyethyl starch,Colloid,Hypovolemia,10-20 mL/kg IV,—,Bag,IV,Bolus,Severe renal failure,Coagulopathy,Monitor coagulation
Fluid_Electrolyte,Albumin 5%,Colloid,Hypoalbuminemia,0.5-1 g/kg IV,—,Bag,IV,PRN,Volume overload,Volume overload,Monitor albumin
Fluid_Electrolyte,Magnesium sulfate 50%,Electrolyte,Hypomagnesemia,25-50 mg/kg IV over 20 min,2 g,Vial,IV,PRN,Hypermagnesemia,Flaccidity arrhythmia,Monitor reflexes
Fluid_Electrolyte,Calcium gluconate 10%,Electrolyte,Hypocalcemia,100 mg/kg IV over 30 min,—,Ampule,IV,q6-8h,Hypercalcemia,Bradycardia arrhythmia,Monitor ECG
Fluid_Electrolyte,Potassium chloride,Electrolyte,Hypokalemia,0.5-1 mEq/kg IV over 2 h (max 40 mEq),40 mEq,Vial,IV,q6-8h,Hyperkalemia,Cardiac arrhythmia,Monitor ECG
Fluid_Electrolyte,Sodium bicarbonate 8.4%,Alkalinizing agent,Metabolic acidosis,1-2 mEq/kg IV titrate,—,Ampule,IV,PRN,Alkalosis,Alkalosis hypokalemia,Monitor ABG
Fluid_Electrolyte,Normal saline 3%,Hypertonic saline,Symptomatic hyponatremia,2-3 mL/kg IV over 30-60 min,—,Bag,IV,Single,Hypernatremia,Hypernatremia seizures,Monitor Na⁺
Fluid_Electrolyte,D10W,Hypertonic dextrose,Hypoglycemia,2-4 mL/kg IV,—,Bag,IV,Bolus,Hyperglycemia,Hyperglycemia,Monitor glucose
Fluid_Electrolyte,D5 0.45% NaCl,Maintenance,Maintenance fluids,100 mL/kg/day first 10 kg + 50 mL/kg next 10 kg + 20 mL/kg >20 kg,—,Bag,IV,Continuous,None,Hypoglycemia,Adjust dextrose
Fluid_Electrolyte,LR,Isotonic crystalloid,Resuscitation,20 mL/kg bolus then maintenance,—,Bag,IV,Bolus/continuous,Hyperkalemia,Lactic acidosis,Monitor electrolytes
Fluid_Electrolyte,0.9% NaCl,Isotonic crystalloid,Maintenance resuscitation,20 mL/kg bolus then maintenance,—,Bag,IV,Bolus/continuous,None,Volume overload,Monitor I/O
Gastroenterology,Lactulose,Osmotic laxative,Constipation hepatic encephalopathy,1-2 g/kg/day ÷ BID,None,Liquid,PO,Once or BID,Galactosemia,Flatulence abdominal cramps,Monitor electrolytes
Gastroenterology,Linaclotide,Guanylate cyclase-C agonist,Chronic constipation IBS-C,0.05-0.1 mg/kg/day (max 6 mg),6 mg/day,Oral capsule,PO,Once daily,Bowel obstruction,Diarrhea flatulence,Not <6 yrs
Gastroenterology,Prucalopride,5-HT4 agonist,Chronic constipation,0.02-0.04 mg/kg/day,2 mg/day,Tablet,PO,Once daily,Intestinal perforation obstruction,Headache diarrhea,Not <18 yrs
Gastroenterology,Mebendazole,Anthelmintic,Pinworm roundworm whipworm,100 mg single dose (pinworm) repeat 2 wks,—,Chewable tab,PO,Single,Hypersensitivity pregnancy,Abdominal pain neutropenia,Treat household contacts
Gastroenterology,Albendazole,Anthelmintic,Neurocysticercosis hydatid,15 mg/kg/day ÷ BID ×8-30 days,800 mg/day,Tablet,PO,BID,Hypersensitivity,Hepatotoxicity leukopenia,Monitor LFT CBC
Gastroenterology,Nitazoxanide,Antiprotozoal,Giardiasis cryptosporidiosis,100 mg BID (1-3 yrs) 200 mg BID (4-11 yrs) ×3 days,400 mg/day,Oral susp tab,PO,BID,Hypersensitivity,Abdominal pain headache,Take with food
Gastroenterology,Rifaximin,Non-absorbed antibiotic,Hepatic encephalopathy traveler's diarrhea,200 mg TID ×3 days (≥12 yrs),1650 mg/day,Tablet,PO,TID,Hypersensitivity rifamycins,Nausea abdominal pain,Not for bloody diarrhea
Gastroenterology,Pancrelipase,Pancreatic enzyme,Exocrine insufficiency,Start 500 U lipase/kg/meal titrate,10 000 U/kg/day,Capsule powder,PO,With meals,Pork allergy,Abdominal pain fibrosing colonopathy,Monitor stool fat
Gastroenterology,Ursodeoxycholic acid,Bile acid,Cholestasis,10-20 mg/kg/day ÷ 2-3 doses,750 mg,Tablet suspension,PO,BID-TID,Biliary obstruction,Diarrhea nausea,Monitor LFT
Gastroenterology,Prednisolone,Corticosteroid,IBD flare,1-2 mg/kg/day (max 60 mg),60 mg,Tablet liquid,PO,Once daily,Systemic infection,Mood changes growth suppression,Taper slowly
Gastroenterology,Budesonide,Corticosteroid,Crohn ileocolonic,9 mg daily,9 mg,ER capsule,PO,Once daily,Systemic fungal infection,Headache respiratory infection,Growth monitoring
Gastroenterology,Infliximab,Anti-TNF mAb,Moderate-severe IBD,5 mg/kg IV weeks 0 2 6 then q8wk,10 mg/kg,Vial,IV,Infusion,Hypersensitivity CHF,Infusion reactions infections,TB screen
Gastroenterology,Azathioprine,Immunosuppressant,Severe IBD,1-2 mg/kg/day (max 2.5 mg/kg),2.5 mg/kg/day,Tablet,PO,Once daily,TPMT deficiency,Marrow suppression hepatotoxicity,TPMT genotype
Gastroenterology,Sulfasalazine,Anti-inflammatory,IBD JIA,40-60 mg/kg/day ÷ 3-4 doses,2-4 g/day,Tablet,PO,TID-QID,Sulfa hypersensitivity porphyria,Blood dyscrasias hepatitis,Monitor CBC LFT
Gastroenterology,Mesalamine,5-ASA,IBD mild-moderate,20-60 mg/kg/day ÷ 2-4 doses,4.8 g/day,Delayed-release tabs,PO,BID-QID,Salicylate hypersensitivity,Headache nausea pancreatitis,Monitor renal fxn
Gastroenterology,Ondansetron,5-HT3 antagonist,CINV PONV,0.15 mg/kg IV q8h (max 16 mg),16 mg,Vial ODT,IV/PO,TID for CINV,Hypersensitivity,Headache constipation QT prolong,Monitor ECG if risk
Gastroenterology,Metoclopramide,Prokinetic antiemetic,GERD gastroparesis,0.1-0.2 mg/kg TID-QID,0.5 mg/kg/day (max 40 mg),Tablet syrup inj,PO/IV,TID-QID 30 min ac,Seizure history GI obstruction,Extrapyramidal reactions,Monitor EPS
Gastroenterology,Omeprazole,PPI,GERD erosive esophagitis,0.5-1 mg/kg/day,20 mg (<20 kg) 40 mg (≥20 kg),Capsule suspension,PO,Once daily,Hypersensitivity,Headache abdominal pain,Use lowest effective dose
Gastroenterology,PEG 3350,Osmotic laxative,Functional constipation bowel prep,0.4 g/kg/day,None,Oral powder,PO,Once daily,GI obstruction,Abdominal bloating,Ensure hydration
Hematology,Ferrous sulfate,Iron supplement,Iron-deficiency anemia,2-6 mg/kg/day elemental,6 mg/kg/day,Drops tab,PO,TID,GI ulcer,Constipation nausea,Take with vitamin C
Hematology,Platelet transfusion,Platelet product,Thrombocytopenia,5-10 mL/kg,—,Bag,IV,PRN,Volume overload,Transfusion reaction,Cross-match
Hematology,Blood transfusion,Blood product,Anemia bleeding,10-15 mL/kg PRBC,—,Bag,IV,PRN,Volume overload,Transfusion reaction,Cross-match
Hematology,Deferasirox,Iron chelator,Transfusional iron overload,20-30 mg/kg/day,40 mg/kg/day,Tab dispersible,PO,Once daily,Severe renal/hepatic,GI upset hepatic failure,Monitor creatinine LFT
Hematology,Desferrioxamine,Iron chelator,Transfusional iron overload,20-40 mg/kg SC 8-12 h,—,Vial,SC,8-12 h,Renal failure,Ototoxicity retinopathy,Monitor ferritin
Hematology,Factor concentrates (rFVIIa),Coagulation factor,Bleeding disorders,90 mcg/kg IV q2-3h PRN,—,Vial,IV,PRN,Factor inhibitors,Thrombosis,Monitor factor levels
Hematology,Rituximab,Anti-CD20 mAb,ITP autoimmune hemolytic anemia,375 mg/m² IV weekly x4,—,Vial,IV,Weekly,Active infection,Infusion reaction infection,TB screen
Hematology,Eltrombopag,TPO agonist,ITP,1-6 yrs 25 mg daily; 6-11 yrs 50 mg; ≥12 yrs 50-75 mg,75 mg/day,Tab,PO,Once daily,Hepatic failure,Hepatotoxicity thrombosis,Monitor LFT platelets
Hematology,Hydroxyurea,Antimetabolite,Sickle cell disease,20-30 mg/kg/day,2 g/day,Cap,PO,Once daily,Severe marrow suppression,Cytopenia mucositis,Monitor CBC
Hematology,Pentoxifylline,Hemorheologic agent,Sickle cell crisis,20 mg/kg/day ÷ TID,1.2 g/day,Tab,PO,TID,Intracranial hemorrhage,Nausea dizziness,Monitor BP
Hematology,Clopidogrel,Antiplatelet,Stroke prevention,1 mg/kg/day,75 mg/day,Tab,PO,Once daily,Bleeding,Bleeding,Monitor CBC
Hematology,Aspirin,Antiplatelet,Kawasaki disease,3-5 mg/kg/day,100 mg/day,Tab chew,PO,Once daily,Viral illness (Reye),GI bleed,Monitor salicylate
Hematology,Rivaroxaban,Direct oral anticoagulant,VTE prophylaxis,Weight-based 15-20 mg daily (≥12 yrs),20 mg/day,Tab,PO,Once daily,Bleeding,Bleeding,Monitor renal
Hematology,Low-molecular-weight heparin,Anticoagulant,DVT PE,1 mg/kg SC q12h,—,Prefilled syringe,SC,q12h,Bleeding,Bleeding,Monitor anti-Xa
Hematology,Heparin,Anticoagulant,DVT PE,Loading 75 U/kg then 20 U/kg/h,—,Vial,IV,Continuous,Bleeding,Bleeding HIT,Monitor aPTT
Hematology,Warfarin,Anticoagulant,Thrombosis,0.2 mg/kg/day,10 mg/day,Tab,PO,Once daily,Bleeding,Bleeding,Monitor INR
Hematology,Factor IX concentrate,Coagulation factor,Hemophilia B,50-100 U/kg IV,—,Vial,IV,PRN,Factor IX inhibitors,Same as above,Same as above
Hematology,Factor VIII concentrate,Coagulation factor,Hemophilia A,25-50 U/kg IV,—,Vial,IV,PRN,Factor VIII inhibitors,Allergic reactions,Monitor factor levels
Hematology,Tranexamic acid,Antifibrinolytic,Bleeding disorders,15 mg/kg IV q8h,—,Ampule,IV,q8h,Thromboembolism,Thrombosis,Monitor D-dimer
Hematology,Desmopressin,Antidiuretic,Von Willebrand disease,0.3 mcg/kg IV q12-24h,—,Ampule nasal spray,IV/Intranasal,q12-24h,Hyponatremia,Water intoxication,Monitor Na+
Hematology,Vitamin B12,Cobalamin,Megaloblastic anemia,0.1 mg IM monthly,—,Ampule,IM,Monthly,None,None,Monitor retic count
Hematology,Folic acid,Vitamin B9,Megaloblastic anemia,1 mg/day,—,Tab drops,PO,Once daily,Pernicious anemia,None,Masks B12 deficiency
Immunology_Allergy,Adrenaline (Epinephrine),Sympathomimetic,Anaphylaxis,0.01 mg/kg IM (0.01 mL/kg 1:1000),0.5 mg,Auto-injector amp,IM,Repeat q5-15 min,None,Tachycardia tremor,Call EMS
Immunology_Allergy,Subcutaneous immunoglobulin,Immunoglobulin,Primary immunodeficiency,100 mg/kg weekly SC,—,Vial,SC,Weekly,Same as above,Injection site,Home infusion
Immunology_Allergy,Immunoglobulin IV,Immunoglobulin,Primary immunodeficiency,400-600 mg/kg IV monthly,—,Vial,IV,Monthly,IgA deficiency anaphylaxis,Headache fever,Dose by weight
Immunology_Allergy,Diphenhydramine,Antihistamine,Allergic reactions,1 mg/kg IV/PO q6h,50 mg/dose,Tab liquid inj,PO/IV,q6h,Antihistamine hypersensitivity,Sedation anticholinergic,Monitor CNS
Immunology_Allergy,Loratadine,Non-sedating antihistamine,Allergic rhinitis,2-5 yrs 5 mg 6-11 yrs 10 mg daily,10 mg/day,Tab syrup,PO,Once daily,Hypersensitivity,Headache GI upset,Non-sedating
Immunology_Allergy,Cetirizine,Non-sedating antihistamine,Allergic rhinitis urticaria,6-23 mo 2.5 mg 2-5 y 5 mg ≥6 y 10 mg daily,10 mg/day,Susp tab,PO,Once daily,Hypersensitivity,Drowsiness GI upset,Less sedation
Immunology_Allergy,Fexofenadine,Non-sedating antihistamine,Allergic rhinitis,2-11 yrs 30 mg BID ≥12 yrs 60 mg BID,120 mg/day,Tab susp,PO,BID,Hypersensitivity,Headache,Non-sedating
Immunology_Allergy,Chlorpheniramine,Sedating antihistamine,Allergic reactions,0.35 mg/kg/day ÷ QID,12 mg/day,Syrup tab,PO,QID,Sedating antihistamines,Sedation anticholinergic,Avoid driving
Immunology_Allergy,Hydroxyzine,Sedating antihistamine,Pruritus anxiety,0.5-1 mg/kg q6h,100 mg/day,Syrup tab,PO/IM,q6h,Sedating antihistamines,Sedation anticholinergic,Short-term use
Immunology_Allergy,Promethazine,Phenothiazine antihistamine,Nausea allergy,0.25-0.5 mg/kg q6h,25 mg/dose,Syrup tab supp,PO/PR/IM,q6h,Respiratory depression,Sedation EPS,Black-box respiratory depression <2 yrs
Immunology_Allergy,Ranitidine,H2 blocker,Allergic GI symptoms,2-4 mg/kg/day ÷ BID,300 mg/day,Syrup tab,PO/IV,BID,Hypersensitivity,Headache diarrhea,Withdrawn NDMA
Immunology_Allergy,Famotidine,H2 blocker,Allergic GI symptoms,0.5-1 mg/kg/day ÷ BID,40 mg/day,Susp tab,PO/IV,BID,Hypersensitivity,Headache diarrhea,Monitor renal
Immunology_Allergy,Montelukast,LTRA,Asthma allergic rhinitis,4 mg (<6 yrs) 5 mg (6-14 yrs) qHS,5 mg/day,Chew tab granules,PO,qHS,Hypersensitivity,Neuropsychiatric events,Warn parents
Immunology_Allergy,Omalizumab,Anti-IgE mAb,Severe allergic asthma,75-375 mg SC q2-4 wk (weight & IgE),375 mg,Prefilled syringe,SC,q2-4 wk,Hypersensitivity,Anaphylaxis URI,Observe 2 h
Immunology_Allergy,Dupilumab,Anti-IL-4/IL-13 mAb,Atopic dermatitis asthma,6-11 yrs 300 mg SC q4wk ≥12 yrs 300 mg q2wk,300 mg,Prefilled syringe,SC,q2-4 wk,Active infection,Conjunctivitis injection site,Monitor infection
Immunology_Allergy,Mepolizumab,Anti-IL-5 mAb,Severe asthma,40 mg SC q4wk (6-11 yrs) 100 mg (≥12 yrs),100 mg,Prefilled syringe,SC,q4wk,Active infection,Headache URI,Monitor infection
Immunology_Allergy,Reslizumab,Anti-IL-5 mAb,Severe asthma,3 mg/kg IV q4wk,—,Vial,IV,q4wk,Active infection,Anaphylaxis,Observe 2 h
Immunology_Allergy,Berniximab,Anti-IgE mAb,Food allergy,Investigational,—,Vial,SC,Monthly,None,Injection site,Under study
Immunology_Allergy,Sodium cromoglycate,Mast cell stabilizer,Allergic rhinitis asthma,2-12 yrs 1 spray each nostril QID,—,Nasal spray,Inh,QID,Hypersensitivity,Sneezing throat irritation,Start before season
Immunology_Allergy,Ketotifen,Mast cell stabilizer,Allergic conjunctivitis,1 drop BID,—,Eye drops,Topical,BID,Hypersensitivity,Burning stinging,OTC
Immunology_Allergy,Olodaterol,Long-acting β2 agonist,Asthma COPD,Not approved <12 yrs,—,Inhaler,Inh,Once daily,Asthma monotherapy,Tremor tachycardia,With ICS only
Infectious_Diseases,Tobramycin,Aminoglycoside,Pseudomonas infections,Same as gentamicin,—,Vial,IV,Once daily,Same as above,Same as above,Same as above
Infectious_Diseases,Amoxicillin,Penicillin,Otitis media pneumonia prophylaxis asplenia,10 mg/kg/dose BID prophylaxis 20-40 mg/kg/day treatment,250 mg BID (>5 yrs prophylaxis),Susp chew cap,PO,BID-TID,Penicillin allergy,Rash diarrhea non-allergic w/ EBV,Adjust renal
Infectious_Diseases,Amoxicillin-Clavulanate,Penicillin + β-lactamase,Resistant otitis sinusitis pneumonia,50 mg/kg/day ÷ BID (<40 kg) 875/125 mg BID (>40 kg),6 g/day amoxicillin,Susp tab,PO,BID-TID,Penicillin allergy jaundice,Diarrhea cholestatic jaundice,Monitor LFT
Infectious_Diseases,Cefalexin,1st gen cephalosporin,Skin UTI otitis,25-50 mg/kg/day ÷ QID severe 100 mg/kg/day,4 g/day,Cap susp,PO,QID,Cephalosporin allergy,Diarrhea rash,Good penicillin alt
Infectious_Diseases,Cefuroxime,2nd gen cephalosporin,Sinusitis pneumonia otitis,20-30 mg/kg/day ÷ BID severe 60 mg/kg/day,1 g/day,Tab susp,PO,BID,Cephalosporin allergy,Diarrhea rash,Better Gram-negative cover
Infectious_Diseases,Ceftriaxone,3rd gen cephalosporin,Meningitis sepsis typhoid,50-100 mg/kg IV daily (meningitis 100 mg/kg),4 g/day,Vial,IV,Once daily,Neonate hyperbilirubinemia,Rash biliary sludge,Do not mix Ca neonates
Infectious_Diseases,Cefotaxime,3rd gen cephalosporin,Meningitis sepsis,50 mg/kg IV q6-8h,—,Vial,IV,q6-8h,Cephalosporin allergy,Rash injection site pain,Adjust renal
